case_id,equipment_type,equipment_model,location,complaint,symptoms,root_cause,action_taken,repair_cost,repair_time_hours,urgency,maintenance_type,date_reported
CASE-0012,Elevator,LiftTech Passenger 8,Administrative Block,Lift suddenly stopped and passengers were stuck.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,32839.78,9.4,Critical,Preventive,2026-05-24
CASE-0013,Elevator,SkyRise 13,Parking Area,Lift broke down with people inside.,Main controller error code E40,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,69651.57,8.1,Medium,Corrective,2026-06-03
CASE-0014,Generator,VoltMaster 250kVA,Academic Block A,Lights flickering when on DG set.,Hunting engine speed,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,9412.21,3.2,Critical,Corrective,2026-01-09
CASE-0015,Elevator,SkyRise 13,Laboratory Block,Lift broke down with people inside.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,37635.77,10.3,Critical,Corrective,2026-01-25
CASE-0016,Air Conditioning,CoolMax 2000,Sports Complex,Unit is dead.,No power,Burnt PCB,Replaced indoor unit PCB,8752.06,1.7,High,Corrective,2026-04-11
CASE-0017,Elevator,LiftTech Passenger 8,Library,Lift is stopping slightly above floor level.,Misaligned leveling,Worn out brake pads,Adjusted brake tension and replaced brake pads,12755.77,6.7,Low,Corrective,2026-04-04
CASE-0018,Generator,VoltMaster 250kVA,Library,Generator not turning on.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,8786.99,1.2,Critical,Corrective,2026-08-29
CASE-0019,Generator,PowerPlus 500kVA,Sports Complex,Lights flickering when on DG set.,Hunting engine speed,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,15173.77,3.5,High,Corrective,2026-02-22
CASE-0020,Generator,VoltMaster 250kVA,Administrative Block,Coolant boiling in generator.,Coolant leak near radiator,Radiator blockage,Flushed radiator and refilled fresh coolant,4496.73,2.7,Medium,Corrective,2025-09-26
CASE-0021,Elevator,LiftTech Passenger 8,Parking Area,Door stuck midway.,Sensor light stays on,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,1733.81,2.3,Critical,Corrective,2026-02-08
CASE-0022,Air Conditioning,ChillTech Window 1.0T,Academic Block A,Unit is making a loud buzzing sound.,Rattling noise,Loose fan motor mounting,Tightened mounting bolts and aligned fan,2045.52,1.3,Medium,Corrective,2025-12-06
CASE-0023,Generator,HeavyDuty 1000kVA,Workshop,Unstable power from generator.,Fluctuating voltage on panel,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,9753.74,3.1,Medium,Corrective,2026-09-11
CASE-0024,Air Conditioning,CoolMax 2000,Parking Area,Abnormal sound from AC.,Rattling noise,Loose fan motor mounting,Tightened mounting bolts and aligned fan,1283.0,1.9,High,Corrective,2026-04-29
CASE-0025,Generator,HeavyDuty 1000kVA,Workshop,Engine cranks but doesn't start.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,5314.32,1.6,Medium,Corrective,2026-08-28
CASE-0026,Elevator,LiftTech Passenger 8,Academic Block A,Elevator floor alignment issue.,Sudden jerk before stopping,Worn out brake pads,Adjusted brake tension and replaced brake pads,11384.13,4.4,Low,Preventive,2026-03-25
CASE-0027,Generator,VoltMaster 250kVA,Academic Block A,Voltage drops occasionally.,Hunting engine speed,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,17257.98,2.2,High,Corrective,2026-04-05
CASE-0028,Air Conditioning,DuctMaster Pro,Sports Complex,AC is running but room remains warm.,Evaporator coil frozen,Refrigerant leak,Repaired leak and recharged refrigerant,3470.4,3.7,High,Corrective,2026-04-16
CASE-0029,Generator,HeavyDuty 1000kVA,Academic Block B,Engine cranks but doesn't start.,Clicking sound from starter,Dead or weak battery,Replaced starter battery and checked alternator charging,9330.85,1.7,High,Preventive,2026-06-03
CASE-0030,Elevator,LiftTech Passenger 8,Hostel Block,Lift is stopping slightly above floor level.,Misaligned leveling,Worn out brake pads,Adjusted brake tension and replaced brake pads,16762.67,6.9,High,Corrective,2026-07-20
CASE-0031,Elevator,SkyRise 13,Workshop,Door stuck midway.,Door reopens repeatedly,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,2754.44,1.0,High,Corrective,2026-06-04
CASE-0032,Air Conditioning,ChillTech Window 1.0T,Academic Block A,Water dripping from indoor unit.,Water dripping from indoor chassis,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,517.01,1.4,Low,Preventive,2026-01-25
CASE-0033,Air Conditioning,CoolMax 2000,Academic Block B,Unit is making a loud buzzing sound.,Rattling noise,Loose fan motor mounting,Tightened mounting bolts and aligned fan,2065.86,1.6,High,Corrective,2026-01-09
CASE-0034,Elevator,LiftTech Passenger 8,Administrative Block,Elevator door not closing completely.,Sensor light stays on,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,3728.06,2.4,Critical,Corrective,2025-10-16
CASE-0035,Generator,VoltMaster 250kVA,Auditorium,Generator not turning on.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,7739.31,1.8,Critical,Corrective,2026-02-25
CASE-0036,Elevator,SkyRise 13,Parking Area,Cannot close elevator doors.,Door reopens repeatedly,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,3155.12,1.6,High,Corrective,2025-10-25
CASE-0037,Generator,VoltMaster 250kVA,Sports Complex,Unstable power from generator.,Fluctuating voltage on panel,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,13596.6,3.2,Low,Corrective,2026-06-30
CASE-0038,Air Conditioning,DuctMaster Pro,Parking Area,Continuous water drip from AC.,Drain tray overflowing,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,1060.55,1.2,Medium,Corrective,2026-03-31
CASE-0039,Generator,HeavyDuty 1000kVA,Auditorium,Backup power failure.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,5065.36,1.3,Medium,Corrective,2026-02-14
CASE-0040,Air Conditioning,BreezeAir Split 1.5T,Parking Area,Loud rattling noise when AC is turned on.,Excessive vibration in outdoor unit,Loose fan motor mounting,Tightened mounting bolts and aligned fan,1935.01,2.5,Critical,Corrective,2025-11-15
CASE-0041,Generator,PowerPlus 500kVA,Auditorium,High engine temperature alarm.,High coolant temperature gauge reading,Radiator blockage,Flushed radiator and refilled fresh coolant,3197.02,3.3,Medium,Corrective,2026-06-27
CASE-0042,Elevator,CargoMover 2000,Sports Complex,Cannot close elevator doors.,Door reopens repeatedly,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,2053.94,2.4,Medium,Corrective,2026-02-08
CASE-0043,Elevator,CargoMover 2000,Hostel Block,Lift suddenly stopped and passengers were stuck.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,59702.16,11.8,Critical,Preventive,2026-02-02
CASE-0044,Elevator,CargoMover 2000,Sports Complex,Total failure while moving.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,53850.17,8.3,High,Corrective,2025-12-02
CASE-0045,Elevator,CargoMover 2000,Academic Block A,Total failure while moving.,Main controller error code E40,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,41397.79,11.0,Medium,Corrective,2026-04-04
CASE-0046,Generator,VoltMaster 250kVA,Auditorium,Unstable power from generator.,Hunting engine speed,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,15604.71,3.8,Low,Corrective,2026-06-25
CASE-0047,Generator,PowerPlus 500kVA,Workshop,Generator failed to start during power cut.,Clicking sound from starter,Dead or weak battery,Replaced starter battery and checked alternator charging,5011.7,1.2,Critical,Preventive,2026-09-11
CASE-0048,Air Conditioning,DuctMaster Pro,Academic Block B,Abnormal sound from AC.,Excessive vibration in outdoor unit,Loose fan motor mounting,Tightened mounting bolts and aligned fan,2245.68,1.3,Low,Corrective,2026-05-23
CASE-0049,Elevator,LiftTech Passenger 8,Academic Block A,Lift suddenly stopped and passengers were stuck.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,33918.36,10.4,High,Corrective,2025-11-18
CASE-0050,Elevator,SkyRise 13,Academic Block A,Lift broke down with people inside.,Main controller error code E40,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,43822.32,6.7,Medium,Corrective,2026-04-04
CASE-0051,Air Conditioning,CoolMax 2000,Library,Air from AC is warm.,Compressor running but no chill,Refrigerant leak,Repaired leak and recharged refrigerant,5159.02,3.6,High,Corrective,2026-03-11
CASE-0052,Elevator,LiftTech Passenger 8,Academic Block A,Lift doors keep opening and closing.,Door reopens repeatedly,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,3469.57,1.5,Critical,Corrective,2026-07-26
CASE-0053,Generator,PowerPlus 500kVA,Laboratory Block,Generator failed to start during power cut.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,11938.47,1.4,Critical,Corrective,2025-12-02
CASE-0054,Elevator,SkyRise 13,Academic Block A,Door stuck midway.,Sensor light stays on,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,2063.38,2.0,High,Corrective,2026-05-01
CASE-0055,Air Conditioning,BreezeAir Split 1.5T,Hostel Block,Continuous water drip from AC.,Water dripping from indoor chassis,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,1268.9,1.3,High,Corrective,2026-01-12
CASE-0056,Air Conditioning,ChillTech Window 1.0T,Parking Area,AC is running but room remains warm.,Low airflow,Refrigerant leak,Repaired leak and recharged refrigerant,6886.9,2.6,Low,Corrective,2026-05-31
CASE-0057,Elevator,SkyRise 13,Sports Complex,Lift doors keep opening and closing.,Sensor light stays on,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,2083.21,2.0,Low,Corrective,2026-06-03
CASE-0058,Generator,VoltMaster 250kVA,Workshop,DG set tripped on high temp.,High coolant temperature gauge reading,Radiator blockage,Flushed radiator and refilled fresh coolant,6804.1,4.5,High,Corrective,2025-12-13
CASE-0059,Generator,HeavyDuty 1000kVA,Parking Area,Generator not turning on.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,10448.5,1.4,Low,Corrective,2026-06-14
CASE-0060,Air Conditioning,DuctMaster Pro,Laboratory Block,Indoor wall is wet near AC.,Water dripping from indoor chassis,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,1490.18,1.3,Critical,Corrective,2026-03-24
CASE-0061,Air Conditioning,BreezeAir Split 1.5T,Workshop,Vibrating noise from outdoor unit.,Rattling noise,Loose fan motor mounting,Tightened mounting bolts and aligned fan,2084.58,1.0,Critical,Corrective,2026-05-21
CASE-0062,Air Conditioning,CoolMax 2000,Administrative Block,Continuous water drip from AC.,Water dripping from indoor chassis,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,1417.15,0.9,Critical,Corrective,2026-08-16
CASE-0063,Generator,PowerPlus 500kVA,Library,Generator failed to start during power cut.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,9020.65,1.1,Critical,Preventive,2025-10-23
CASE-0064,Air Conditioning,BreezeAir Split 1.5T,Academic Block B,No display on AC.,MCB tripping,Burnt PCB,Replaced indoor unit PCB,6494.59,2.8,Low,Corrective,2026-02-17
CASE-0065,Elevator,SkyRise 13,Academic Block B,Cannot close elevator doors.,Door reopens repeatedly,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,3893.07,1.5,Critical,Corrective,2026-03-12
CASE-0066,Air Conditioning,CoolMax 2000,Sports Complex,Loud rattling noise when AC is turned on.,Excessive vibration in outdoor unit,Loose fan motor mounting,Tightened mounting bolts and aligned fan,1668.73,2.1,High,Corrective,2026-03-19
CASE-0067,Air Conditioning,ChillTech Window 1.0T,Sports Complex,Unit is dead.,No power,Burnt PCB,Replaced indoor unit PCB,9603.84,2.3,High,Corrective,2026-04-28
CASE-0068,Elevator,CargoMover 2000,Parking Area,Lift is stopping slightly above floor level.,Sudden jerk before stopping,Worn out brake pads,Adjusted brake tension and replaced brake pads,16800.18,4.5,Critical,Corrective,2026-08-16
CASE-0069,Elevator,SkyRise 13,Library,Not leveling properly at ground floor.,Sudden jerk before stopping,Worn out brake pads,Adjusted brake tension and replaced brake pads,18969.29,4.9,High,Corrective,2026-06-19
CASE-0070,Elevator,LiftTech Passenger 8,Hostel Block,Not leveling properly at ground floor.,Misaligned leveling,Worn out brake pads,Adjusted brake tension and replaced brake pads,20278.51,4.1,Medium,Corrective,2026-07-10
CASE-0071,Air Conditioning,DuctMaster Pro,Workshop,AC is running but room remains warm.,Compressor running but no chill,Refrigerant leak,Repaired leak and recharged refrigerant,7796.38,3.7,High,Corrective,2025-12-25
CASE-0072,Generator,VoltMaster 250kVA,Library,Voltage output is fluctuating heavily.,Hunting engine speed,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,11681.77,3.3,Critical,Corrective,2026-06-08
CASE-0073,Elevator,LiftTech Passenger 8,Auditorium,Elevator door not closing completely.,Sensor light stays on,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,3402.57,2.0,Critical,Corrective,2026-07-26
CASE-0074,Air Conditioning,ChillTech Window 1.0T,Laboratory Block,Power on but AC doesn't start.,No power,Burnt PCB,Replaced indoor unit PCB,6385.82,2.0,Low,Preventive,2026-06-13
CASE-0075,Generator,HeavyDuty 1000kVA,Sports Complex,Engine cranks but doesn't start.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,11994.37,1.4,High,Corrective,2026-09-16
CASE-0076,Generator,PowerPlus 500kVA,Workshop,High engine temperature alarm.,Coolant leak near radiator,Radiator blockage,Flushed radiator and refilled fresh coolant,5599.5,4.0,Low,Corrective,2026-05-29
CASE-0077,Elevator,LiftTech Passenger 8,Academic Block A,Elevator floor alignment issue.,Misaligned leveling,Worn out brake pads,Adjusted brake tension and replaced brake pads,11334.69,4.2,Critical,Corrective,2026-03-08
CASE-0078,Air Conditioning,CoolMax 2000,Auditorium,Not cooling properly.,Low airflow,Refrigerant leak,Repaired leak and recharged refrigerant,5357.9,4.8,High,Corrective,2026-06-21
CASE-0079,Elevator,LiftTech Passenger 8,Auditorium,Lift suddenly stopped and passengers were stuck.,Main controller error code E40,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,58733.16,9.4,High,Corrective,2026-08-23
CASE-0080,Air Conditioning,CoolMax 2000,Library,AC not turning on.,Display blank,Burnt PCB,Replaced indoor unit PCB,5833.1,2.0,Medium,Corrective,2026-07-07
CASE-0081,Elevator,CargoMover 2000,Academic Block A,Elevator emergency stopped midway.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,58884.93,7.0,Medium,Corrective,2026-06-19
CASE-0082,Air Conditioning,CoolMax 2000,Hostel Block,Vibrating noise from outdoor unit.,Rattling noise,Loose fan motor mounting,Tightened mounting bolts and aligned fan,2248.46,1.2,Low,Corrective,2026-09-01
CASE-0083,Air Conditioning,DuctMaster Pro,Academic Block B,Loud rattling noise when AC is turned on.,Excessive vibration in outdoor unit,Loose fan motor mounting,Tightened mounting bolts and aligned fan,1690.38,2.0,Low,Corrective,2026-07-26
CASE-0084,Elevator,CargoMover 2000,Academic Block A,Elevator door not closing completely.,Sensor light stays on,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,3119.08,1.7,Medium,Corrective,2025-10-11
CASE-0085,Air Conditioning,ChillTech Window 1.0T,Sports Complex,Loud rattling noise when AC is turned on.,Rattling noise,Loose fan motor mounting,Tightened mounting bolts and aligned fan,2279.41,2.4,Critical,Corrective,2026-06-10
CASE-0086,Air Conditioning,DuctMaster Pro,Laboratory Block,Unit is dead.,No power,Burnt PCB,Replaced indoor unit PCB,5096.76,1.6,High,Corrective,2025-11-24
CASE-0087,Generator,VoltMaster 250kVA,Administrative Block,Generator not turning on.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,6327.3,1.3,Medium,Preventive,2026-06-13
CASE-0088,Elevator,CargoMover 2000,Auditorium,Step hazard when exiting lift.,Sudden jerk before stopping,Worn out brake pads,Adjusted brake tension and replaced brake pads,14835.67,4.1,Low,Corrective,2025-10-25
CASE-0089,Air Conditioning,DuctMaster Pro,Academic Block A,AC is running but room remains warm.,Evaporator coil frozen,Refrigerant leak,Repaired leak and recharged refrigerant,4805.13,2.5,Medium,Corrective,2025-11-28
CASE-0090,Air Conditioning,BreezeAir Split 1.5T,Parking Area,Power on but AC doesn't start.,No power,Burnt PCB,Replaced indoor unit PCB,4281.35,2.3,Critical,Preventive,2026-03-17
CASE-0091,Generator,HeavyDuty 1000kVA,Auditorium,Coolant boiling in generator.,High coolant temperature gauge reading,Radiator blockage,Flushed radiator and refilled fresh coolant,3543.04,3.6,High,Corrective,2025-09-23
CASE-0092,Generator,PowerPlus 500kVA,Administrative Block,Coolant boiling in generator.,Coolant leak near radiator,Radiator blockage,Flushed radiator and refilled fresh coolant,3377.21,4.8,High,Preventive,2026-03-20
CASE-0093,Generator,VoltMaster 250kVA,Parking Area,Generator failed to start during power cut.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,10773.07,1.5,High,Corrective,2026-09-17
CASE-0094,Air Conditioning,BreezeAir Split 1.5T,Laboratory Block,Unit is making a loud buzzing sound.,Rattling noise,Loose fan motor mounting,Tightened mounting bolts and aligned fan,1964.22,1.2,Critical,Corrective,2026-07-28
CASE-0095,Air Conditioning,DuctMaster Pro,Sports Complex,Water dripping from indoor unit.,Drain tray overflowing,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,904.02,1.5,High,Corrective,2026-06-24
CASE-0096,Elevator,LiftTech Passenger 8,Academic Block A,Lift suddenly stopped and passengers were stuck.,Cabin lights on but motor off,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,55198.85,6.1,High,Preventive,2025-11-21
CASE-0097,Elevator,CargoMover 2000,Administrative Block,Cannot close elevator doors.,Door reopens repeatedly,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,2906.98,1.2,Critical,Corrective,2026-08-18
CASE-0098,Elevator,CargoMover 2000,Administrative Block,Lift doors keep opening and closing.,Door reopens repeatedly,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,2604.92,2.3,Medium,Corrective,2025-09-27
CASE-0099,Generator,HeavyDuty 1000kVA,Hostel Block,Backup power failure.,Cranks slowly,Dead or weak battery,Replaced starter battery and checked alternator charging,8968.41,1.8,Critical,Corrective,2025-10-23
CASE-0100,Elevator,CargoMover 2000,Auditorium,Lift broke down with people inside.,Main controller error code E40,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,47005.07,10.2,High,Corrective,2026-05-21
CASE-0101,Air Conditioning,BreezeAir Split 1.5T,Academic Block B,Abnormal sound from AC.,Rattling noise,Loose fan motor mounting,Tightened mounting bolts and aligned fan,1506.21,1.6,Low,Preventive,2026-09-07
CASE-0102,Generator,PowerPlus 500kVA,Hostel Block,DG set tripped on high temp.,High coolant temperature gauge reading,Radiator blockage,Flushed radiator and refilled fresh coolant,3968.2,3.9,High,Preventive,2026-03-21
CASE-0103,Air Conditioning,CoolMax 2000,Auditorium,Vibrating noise from outdoor unit.,Excessive vibration in outdoor unit,Loose fan motor mounting,Tightened mounting bolts and aligned fan,1764.84,1.6,Low,Corrective,2026-02-09
CASE-0104,Generator,HeavyDuty 1000kVA,Academic Block B,Generator failed to start during power cut.,Clicking sound from starter,Dead or weak battery,Replaced starter battery and checked alternator charging,6254.23,1.8,High,Corrective,2026-08-19
CASE-0105,Generator,PowerPlus 500kVA,Academic Block A,Backup power failure.,Clicking sound from starter,Dead or weak battery,Replaced starter battery and checked alternator charging,9059.26,2.0,Critical,Corrective,2026-05-29
CASE-0106,Generator,PowerPlus 500kVA,Academic Block A,DG set tripped on high temp.,High coolant temperature gauge reading,Radiator blockage,Flushed radiator and refilled fresh coolant,6851.58,4.6,High,Corrective,2026-02-12
CASE-0107,Elevator,CargoMover 2000,Laboratory Block,Door stuck midway.,Sensor light stays on,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,3546.16,1.4,High,Corrective,2026-02-16
CASE-0108,Air Conditioning,ChillTech Window 1.0T,Hostel Block,AC is leaking water on the floor.,Water dripping from indoor chassis,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,1480.94,1.2,Medium,Preventive,2026-01-25
CASE-0109,Air Conditioning,DuctMaster Pro,Auditorium,AC is leaking water on the floor.,Water dripping from indoor chassis,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,1047.06,0.9,High,Corrective,2026-09-15
CASE-0110,Elevator,LiftTech Passenger 8,Laboratory Block,Door stuck midway.,Sensor light stays on,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,2625.56,2.3,Critical,Corrective,2026-05-08
CASE-0111,Generator,VoltMaster 250kVA,Auditorium,Lights flickering when on DG set.,Fluctuating voltage on panel,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,9601.03,3.3,Medium,Corrective,2026-01-13
CASE-0112,Generator,HeavyDuty 1000kVA,Library,Backup power failure.,Clicking sound from starter,Dead or weak battery,Replaced starter battery and checked alternator charging,10745.57,1.9,Medium,Corrective,2026-08-22
CASE-0113,Elevator,LiftTech Passenger 8,Administrative Block,Cannot close elevator doors.,Sensor light stays on,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,3217.1,2.4,Medium,Corrective,2026-09-05
CASE-0114,Generator,PowerPlus 500kVA,Auditorium,Coolant boiling in generator.,Coolant leak near radiator,Radiator blockage,Flushed radiator and refilled fresh coolant,4157.08,4.4,Critical,Corrective,2026-04-21
CASE-0115,Elevator,SkyRise 13,Workshop,Not leveling properly at ground floor.,Misaligned leveling,Worn out brake pads,Adjusted brake tension and replaced brake pads,12293.22,5.9,Low,Corrective,2026-01-26
CASE-0116,Air Conditioning,DuctMaster Pro,Academic Block B,Cooling unit operates continuously but temperature does not fall.,Compressor running but no chill,Refrigerant leak,Repaired leak and recharged refrigerant,4647.85,2.1,Medium,Corrective,2026-01-17
CASE-0117,Elevator,CargoMover 2000,Sports Complex,Total failure while moving.,Main controller error code E40,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,49479.8,6.7,Critical,Corrective,2025-11-02
CASE-0118,Elevator,LiftTech Passenger 8,Academic Block A,Not leveling properly at ground floor.,Misaligned leveling,Worn out brake pads,Adjusted brake tension and replaced brake pads,20409.37,6.9,Low,Corrective,2026-07-11
CASE-0119,Generator,HeavyDuty 1000kVA,Laboratory Block,Voltage output is fluctuating heavily.,Fluctuating voltage on panel,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,13818.27,3.9,High,Corrective,2026-06-13
CASE-0120,Air Conditioning,CoolMax 2000,Hostel Block,Water dripping from indoor unit.,Water dripping from indoor chassis,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,673.48,0.7,Critical,Corrective,2025-11-28
CASE-0121,Elevator,LiftTech Passenger 8,Academic Block A,Total failure while moving.,Main controller error code E40,Main controller logic board failure,Replaced logic board and reprogrammed lift sequence,60220.38,8.0,Low,Corrective,2026-03-09
CASE-0122,Elevator,LiftTech Passenger 8,Academic Block A,Door stuck midway.,Door reopens repeatedly,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,3961.49,1.8,Critical,Corrective,2026-02-18
CASE-0123,Air Conditioning,DuctMaster Pro,Academic Block A,Water dripping from indoor unit.,Water dripping from indoor chassis,Clogged drain pipe,Cleared blockage in drain pipe using compressed air,792.38,0.9,Medium,Corrective,2026-08-13
CASE-0124,Elevator,LiftTech Passenger 8,Academic Block A,Door stuck midway.,Door reopens repeatedly,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,1580.0,1.6,High,Corrective,2026-06-24
CASE-0125,Elevator,CargoMover 2000,Hostel Block,Elevator floor alignment issue.,Sudden jerk before stopping,Worn out brake pads,Adjusted brake tension and replaced brake pads,18564.58,5.7,Medium,Corrective,2026-09-01
CASE-0126,Generator,PowerPlus 500kVA,Library,Generator failed to start during power cut.,Clicking sound from starter,Dead or weak battery,Replaced starter battery and checked alternator charging,11342.21,1.0,High,Corrective,2025-10-01
CASE-0127,Elevator,LiftTech Passenger 8,Library,Not leveling properly at ground floor.,Misaligned leveling,Worn out brake pads,Adjusted brake tension and replaced brake pads,21831.51,4.2,Critical,Corrective,2026-04-24
CASE-0128,Air Conditioning,DuctMaster Pro,Parking Area,Unit is dead.,MCB tripping,Burnt PCB,Replaced indoor unit PCB,5319.62,3.0,High,Corrective,2025-10-25
CASE-0129,Elevator,CargoMover 2000,Administrative Block,Lift doors keep opening and closing.,Door reopens repeatedly,Faulty door safety sensor,Cleaned and aligned photo-electric sensor,3453.99,1.3,Medium,Corrective,2026-09-02
CASE-0130,Air Conditioning,DuctMaster Pro,Academic Block A,Vibrating noise from outdoor unit.,Rattling noise,Loose fan motor mounting,Tightened mounting bolts and aligned fan,2388.27,1.2,Low,Corrective,2025-11-13
CASE-0131,Generator,HeavyDuty 1000kVA,Auditorium,Unstable power from generator.,Hunting engine speed,Faulty AVR (Automatic Voltage Regulator),Replaced AVR module and calibrated output,8938.79,2.3,Critical,Corrective,2026-07-11
